magnitude,cdi,mmi,tsunami,sig,nst,dmin,gap,magtype,depth,location
6.5,7.0,4.0,0.0,657.0,114.0,3.873125,25.0,mww,113.5,"Sola, Vanuatu"
6.5,8.0,6.0,0.0,775.0,92.0,0.679,40.0,mww,69.727,"Intipucá, El Salvador"
6.6,7.0,5.0,0.0,899.0,70.0,1.634,28.0,mww,113.5,"Loncopué, Argentina"
7.2,6.0,6.0,1.0,860.0,173.0,0.907,36.0,mww,32.571,"Sand Point, Alaska"
7.3,0.0,5.0,1.0,820.0,79.0,0.879451,67.5,Mi,21.0,Alaska Peninsula
6.6,5.0,4.0,1.0,802.0,95.0,2.454,37.0,mww,10.0,"Codrington, Antigua and Barbuda"
6.9,4.0,4.0,1.0,741.0,136.0,1.179,23.0,mww,113.5,Tonga
7.2,8.0,6.0,1.0,804.0,85.0,2.59,24.0,mww,113.5,the Fiji Islands
6.6,6.0,6.0,1.0,733.0,50.0,2.163,67.5,mww,10.0,Panama-Colombia border region
7.1,3.0,4.0,1.0,777.0,98.0,2.812,56.0,mww,35.981,the Loyalty Islands
7.7,5.0,4.0,1.0,927.0,277.0,3.111,15.0,mww,18.027,the Loyalty Islands
7.6,8.0,6.0,1.0,907.0,111.0,3.631,17.0,mww,113.5,"Hihifo, Tonga"
6.6,0.0,2.0,0.0,670.0,52.0,3.873125,50.0,mww,113.5,the Fiji Islands
7.1,9.0,7.0,0.0,838.0,70.0,2.282,58.0,mww,15.462,"Teluk Dalam, Indonesia"
7.1,8.0,7.0,1.0,777.0,126.0,0.708,23.0,mww,43.063,"Kermadec Islands, New Zealand"
6.7,0.0,3.0,1.0,691.0,166.0,3.873125,10.0,mww,113.5,the Fiji Islands
7.0,5.0,3.0,0.0,818.0,131.0,1.881,31.0,mww,113.5,"Tuban, Indonesia"
6.5,7.0,6.0,1.0,655.0,104.0,0.266,30.0,mww,105.631,"the Kamchatka Peninsula, Russia"
7.0,7.0,7.0,1.0,781.0,105.0,3.873125,31.0,mww,62.603,"New Guinea, Papua New Guinea"
6.5,4.0,4.0,0.0,656.0,97.0,1.622,33.0,mww,113.5,"San Antonio de los Cobres, Argentina"
6.5,7.0,5.0,0.0,1149.125,134.0,2.53,13.0,mww,113.5,"Jurm, Afghanistan"
6.8,9.0,7.0,1.0,1149.125,152.0,0.709,28.0,mww,65.842,Ecuador
7.0,8.0,5.0,1.0,756.0,116.0,1.789,22.0,mww,22.065,Kermadec Islands region
6.9,5.0,5.0,1.0,735.0,108.0,0.784,18.0,mww,113.5,"Kermadec Islands, New Zealand"
6.5,7.0,6.0,1.0,653.0,66.0,3.873125,45.0,mww,10.0,"Port-Olry, Vanuatu"
6.5,4.0,2.0,1.0,652.0,115.0,2.739,20.0,mww,113.5,"Kimbe, Papua New Guinea"
6.8,9.0,7.0,0.0,737.0,128.0,1.783,20.0,mww,20.522,"Murghob, Tajikistan"
7.5,9.0,9.0,0.0,1149.125,135.0,0.85,17.0,mww,10.0,"Ekinözü, Turkey"
6.7,9.0,8.0,0.0,800.0,108.0,0.218,44.0,mww,14.497,"Nurdağı, Turkey"
7.8,9.0,9.0,0.0,1149.125,118.0,1.919,32.0,mww,17.925,Central Turkey
6.8,4.0,3.0,0.0,718.0,60.0,3.873125,61.0,mww,113.5,"Kokopo, Papua New Guinea"
7.0,3.0,5.0,1.0,756.0,130.0,1.974,17.0,mwc,28.566,"Tobelo, Indonesia"
7.6,5.0,7.0,0.0,957.0,114.0,1.575,21.0,mww,105.249,"Pulau Pulau Tanimbar, Indonesia"
7.0,8.0,7.0,1.0,768.0,116.0,3.873125,36.0,mww,29.0,Vanuatu
6.8,5.0,5.0,1.0,720.0,152.0,2.587,26.0,mww,38.0,"Hihifo, Tonga"
7.0,8.0,7.0,1.0,768.0,117.0,0.509,17.0,mww,14.0,"Malango, Solomon Islands"
6.9,4.0,4.0,0.0,735.0,99.0,2.229,34.0,mww,25.0,"Bengkulu, Indonesia"
7.0,3.0,3.0,1.0,755.0,147.0,3.125,18.0,mww,113.5,"Kokopo, Papua New Guinea"
7.3,5.0,5.0,1.0,833.0,149.0,1.865,21.0,mww,37.0,"Neiafu, Tonga"
6.6,0.0,2.0,1.0,670.0,131.0,3.873125,27.0,mww,113.5,"Kokopo, Papua New Guinea"
7.0,4.0,3.0,1.0,755.0,142.0,3.873125,26.0,mwb,113.5,the Fiji Islands
6.8,1.0,3.0,1.0,711.0,136.0,3.873125,22.0,mww,113.5,the Fiji Islands
6.7,7.0,6.0,1.0,797.0,145.0,1.151,37.0,mww,20.0,"Boca Chica, Panama"
6.8,8.0,7.0,1.0,1149.125,175.0,2.137,67.5,mww,20.0,"Aguililla, Mexico"
7.6,9.0,8.0,1.0,1149.125,271.0,1.153,67.5,mww,26.943,"Aguililla, Mexico"
6.9,9.0,9.0,1.0,887.0,215.0,0.401,34.0,mww,10.0,"Yujing, Taiwan"
6.5,7.0,7.0,1.0,756.0,178.0,0.43,54.0,mww,10.0,"Lugu, Taiwan"
7.0,7.0,5.0,1.0,761.0,192.0,2.977,45.0,mww,113.5,"Isangel, Vanuatu"
7.6,8.0,8.0,1.0,965.0,272.0,3.158,12.0,mww,113.5,"Kainantu, Papua New Guinea"
6.6,9.0,8.0,0.0,1043.0,141.0,3.873125,34.0,mww,12.0,"Kangding, China"
6.6,7.0,6.0,1.0,672.0,68.0,3.873125,34.0,mww,30.0,the Kermadec Islands
7.0,9.0,8.0,1.0,1149.125,152.0,3.873125,22.0,mww,33.729,"Bantay, Philippines"
6.5,3.0,2.0,0.0,653.0,236.0,1.999,31.0,mww,113.5,"Tarauacá, Brazil"
7.2,7.0,5.0,1.0,876.0,144.0,2.494,40.0,mww,113.5,"Azángaro, Peru"
6.9,2.0,5.0,1.0,733.0,127.0,0.371,45.0,mww,10.0,"Kokopo, Papua New Guinea"
6.8,6.0,5.0,1.0,762.0,162.0,1.505,30.0,mww,113.5,"San Antonio de los Cobres, Argentina"
6.6,6.0,5.0,1.0,762.0,0.0,0.914,67.5,mww,27.0,"Masachapa, Nicaragua"
7.0,6.0,4.0,1.0,763.0,0.0,2.705,26.0,mww,10.0,the Loyalty Islands
6.9,6.0,4.0,1.0,738.0,0.0,2.697,42.0,mww,10.0,"Tadine, New Caledonia"
6.7,8.0,7.0,1.0,806.0,0.0,0.289,32.0,mww,24.0,"Hualien City, Taiwan"
7.3,9.0,8.0,1.0,1149.125,0.0,2.936,29.0,mww,41.0,"Namie, Japan"
6.7,9.0,6.0,0.0,708.0,0.0,2.188,43.0,mww,28.0,"Pariaman, Indonesia"
6.6,2.0,7.0,1.0,670.0,0.0,0.827,46.0,mww,24.0,"Kermadec Islands, New Zealand"
6.8,2.0,3.0,1.0,712.0,0.0,3.873125,12.0,mww,113.5,the Fiji Islands
6.5,8.0,6.0,0.0,690.0,0.0,3.026,22.0,mww,110.0,"Barranca, Peru"
